,name,price in (Rs),range (km/charge),Topspeed in (Kmph),battery capacity (amp hour),charging in (hours),TCS per kilometer(Rs),charge in minutes
0,Motovolt Kivo 24,"36,000",70,25,16,4.5,0.064,270
1,Hero Lectro H5,"28,499",30,25,5.8,4,0.064,240
2,Hero Lectro H3,"27,499",30,25,5.8,4,0.064,240
3,Hero Lectro F1,"38,999",30,25,5.8,                                            3 .5,0.064,210
4,Hero Lectro C5X,"32,999",30,25,5.8,3.5,0.064,210
5,Hero Lectro C1,"38,999",30,25,5.8,3.5,0.064,210
6,Nexzu Rompus Plus,"33,999",32,25,5.2,2.75,0.064,165
7,Firefox Adventron,"60,000",52.157,28.75,10.3,4.5,0.064,270
8,EMotorad Doodle,"79,800",50,25,10,5.5,0.05,330
9,SVITCH XE+,"98,999",80,25,14.5,4.5,0.064,270
10,BattRE Electric Mobility Huge,"38,700",52.157,28.75,13,4.5,0.064,270
11,BattRE Electric Mobility Kross,"35,700",52.157,28.75,13,4.5,0.064,270
12,BattRE Electric Mobility Montra,"40,700",52.157,28.75,13,4.5,0.064,270
13,BattRE Electric Mobility Newtron,"29,900",52.157,28.75,8,4.5,0.064,270
14,EMotorad T-Rex,46000,45,25,10.4,4.5,0.05,270
15,EMotorad EMX,"58,999",45,45+ ,10.4,4,0.05,240
16,SVITCH MXE,"47,000",52.157,25,8.7,4.5,0.064,270
17,Essel Energy GET 7,"42,500",75,25,16,4.5,0.07,270
18,Essel Energy GET 1,"37,500",45,25,13,4.5,0.1,270
19,Toutche Electric Heileo M100,"49,900",75,25,11.6,4.5,0.04,270
20,Toutche Electric Heileo H200,"53,900",75,25,11.6,4.5,0.04,270
21,Toutche Electric Heileo M200,"57,900",75,25,11.6,4.5,0.04,270
22,Polarity Smart Executive,"38,000",80,80,5.8,4.5,0.064,270
23,Polarity Smart Sport,"40,000",80,100,10.3,4,0.064,240
24,Motovolt Urbn e-Bike,"49,999",120,25,20,4,0.064,240
25,Nexzu Bazinga,"46,999",85,25,13.9,3.5,0.064,210
26,Nexzu Roadlark,"45,999",82.5,25,13.9,7.5,0.064,450
27,Motovolt Kivo Easy,"29,774",67.5,28.75,16,4.5,0.12,270
28,Motovolt Ice,"28,449",37.5,25,6,4.5,0.05,270
29,Motovolt Kivo,"29,774",67.5,25,16,4.5,0.12,270
30,Motovolt Hum,"31,049",67.5,25,16,4.5,0.12,270
31,Hero Lectro WINN,"44,090",57.5,25,11.6,7,0.05,420
32,Hero Lectro WINN-X,"44,419",72.5,25,14.5,7,0.05,420
33,SVITCH XE,"74,999",47.5,25,11.6,4.5,0.08,270
34,Hero Lectro C8i,"39,999",25,25,6.36,4.5,0.06,270
35,Hero Lectro F3i,"40,999",25,25,6.4,4.5,0.06,270
36,Hero Lectro C7,"34,999",25,25,6.36,4.5,0.06,270
37,Hero Lectro C9,"46,999",25,25,8.7,4.5,0.08,270
38,Hero Lectro F2i,"39,999",25,25,6.4,4.5,0.06,270
39,Hero Lectro Electric C6,"34,999",25,25,5.8,4,0.05,240
40,Hero Lectro Electric F6i,"54,999",60,25,11.6,5.5,0.05,330
41,Lectro Electric C8,"36,999",30,25,5.8,4,0.05,240
42,Hero Lectro Electric C5,"30,999",30,25,5.8,4,0.05,240
43,Hero Lectro Electric C3,"28,999",30,25,5.8,4,0.05,240
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Average,"43,364",52.15777273,28.54651163,10.22545455,4.51744186,,
,Standard Deviation,14435.16349,22.46291654,13.96725079,3.964325483,0.870131608,,
,max,"98,999",120,100,20,8,,
,min,"27,499",25,25,5,3,,
,,,52.157,25,,,median,270
,,,,,,,average,269.6590909
